BSE SYMBOL,ISIN No,Type
INDIAHOMES,INE072A01029,Equity
KVFORGE,INE013J01016,Equity
VALLABHSQ,INE457E01016,Equity
SMFIL,INE728B01032,Equity
BLOIN,INE373E01015,Equity
MAITRI,INE501L01024,Equity
ELANGO,INE594D01018,Equity
KANSHST,INE791E01018,Equity
MAHALXSE,INE257F01017,Equity
SIMPLEXCAS,INE658D01011,Equity
SSWRL,INE387D01025,Equity
SIZEMASTER,INE235U01012,Equity
SOUTHMG,INE308N01012,Equity
BAROEXT,INE927K01023,Equity
GUJCONT,INE276I01011,Equity
PANCHMAHQ,INE798F01010,Equity
ADITYA,INE570B01012,Equity
GLITTEKG,INE741B01027,Equity
TNSTLTU,INE176E01012,Equity
MSCTC,INE277E01026,Equity
SHRDAIS,INE385M01012,Equity
NOVIS,INE608C01026,Equity
STERPOW,INE067E01013,Equity
FFPL,INE617C01027,Equity
TULSYAN,INE463D01016,Equity
AXELPOLY,INE197C01012,Equity
SPECTRA,INE848B01012,Equity
KAJARIR,INE434C01027,Equity
SOLIDSTON,INE584G01012,Equity
SHILGRAVQ,INE960A01017,Equity
WHITEORG,INE146C01019,Equity
MFSINTRCRP,INE614F01019,Equity
RUDRAECO,INE723D01021,Equity
RAJKSYN,INE376L01013,Equity
DEEPAKSP,INE272C01013,Equity
NEWTRAC,INE229N01010,Equity
PBMPOLY,INE501F01018,Equity
ADINATH,INE207C01019,Equity
INDIANACRY,INE862B01013,Equity
CEETAIN,INE760J01012,Equity
RISHYRN,INE351D01013,Equity
STCORP,INE110Q01023,Equity
RAMGOPOLY,INE410D01017,Equity
TTLEL,INE664X01025,Equity
MKVENTURES,INE874A01010,Equity
KUSHIND,INE979D01011,Equity
SRECR,INE377C01010,Equity
SURBHIN,INE899E01019,Equity
SEASONST,INE707B01010,Equity
ZENIFIB,INE106C01013,Equity
BHILSPIN,INE436C01014,Equity
SANTETX,INE589J01015,Equity
VIPPYSP,INE660D01017,Equity
JAIHIND,INE156E01014,Equity
RAGHUSYN,INE969C01022,Equity
JATTAINDUS,INE722N01014,Equity
KAMADGIRI,INE535C01013,Equity
OMNITEX,INE814D01010,Equity
PATSPINLTD,INE790C01014,Equity
ONEGLOBAL,INE670O01013,Equity
NEOINFRA,INE216I01017,Equity
CCME,INE194N01016,Equity
EVERFIN,INE339D01034,Equity
KRRAIL,INE078T01026,Equity
YARNSYN,INE564C01013,Equity
GUJCOTEX,INE004C01028,Equity
GARWSYN,INE340D01016,Equity
ECOHOTELS,INE638N01012,Equity
SARUPINDUS,INE305D01019,Equity
OXFORDIN,INE114D01015,Equity
HINDADH,INE074C01013,Equity
BPAGRI,INE439N01031,Equity
SRIKPRIND,INE009C01019,Equity
JYOTIRES,INE577D01013,Equity
SOUTLAT,INE410M01018,Equity
WINSOMTX,INE837B01031,Equity
MODINSU,INE219W01012,Equity
SEKURITIND,INE068B01017,Equity
MADHUDIN,INE469C01023,Equity
RESTILE,INE298E01022,Equity
DUROPLY,INE932D01010,Equity
AGIOPAPER,INE112C01011,Equity
TAHMARENT,INE385D01029,Equity
KSSMART,INE737E01011,Equity
NATPLY,INE497C01016,Equity
JUMBO,INE699D01015,Equity
SANPA,INE384D01022,Equity
VENTURA,INE810C01044,Equity
SHKARTP,INE538D01015,Equity
STHINPA,INE088G01014,Equity
FAMILYCARE,INE146N01016,Equity
RIR,INE302D01024,Equity
JETKINGQ,INE919C01019,Equity
INDAGIV,INE115E01010,Equity
APLAB,INE273A01015,Equity
PCS,INE834B01012,Equity
SPELS,INE252A01019,Equity
EDVENSWA,INE125G01014,Equity
PERVASIVE,INE443P01038,Equity
SWITCHTE,INE311D01017,Equity
CALCOM,INE216C01010,Equity
DYNAVSN,INE083E01010,Equity
BCCFUBA,INE788D01016,Equity
PRECISIO,INE143C01024,Equity
FINELINE,INE087E01011,Equity
RNITAI,INE335Q01026,Equity
GUJARATPOLY,INE541F01022,Equity
MAGNUS,INE898E01011,Equity
MODMA,INE834C01028,Equity
ACIIN,INE167B01025,Equity
SBECSYS,INE689V01018,Equity
INCAP,INE437C01012,Equity
GUJINTRX,INE877E01015,Equity
REGANTO,INE043B01028,Equity
PANELEC,INE648E01010,Equity
VXLINSTR,INE756A01019,Equity
LEENEE,INE791B01014,Equity
PATELSAI,INE082C01024,Equity
